# Version 1.00
#
freq[Hz];re:Trc1_S11[U];im:Trc1_S11[U];
2.319500000000000E+009;-1.396857798099518E-001;1.546259224414825E-001;
2.328000000000000E+009;-1.000708639621735E-001;1.782255619764328E-001;
2.336500000000000E+009;-5.060639232397080E-002;1.706432402133942E-001;
2.345000000000000E+009;-3.742976114153862E-002;1.234183311462402E-001;
2.353500000000000E+009;-5.762332677841187E-002;9.702090173959732E-002;
2.362000000000000E+009;-9.417023509740830E-002;9.004715085029602E-002;
2.370500000000000E+009;-1.212023869156838E-001;1.229902878403664E-001;
2.379000000000000E+009;-1.112950369715691E-001;1.646933406591415E-001;
2.387500000000000E+009;-7.212568819522858E-002;1.896440684795380E-001;
2.396000000000000E+009;-1.862109079957008E-002;1.743097305297852E-001;
2.404500000000000E+009;2.582704473752528E-004;1.230337545275688E-001;
2.413000000000000E+009;-1.485807076096535E-002;7.479289174079895E-002;
2.421500000000000E+009;-7.048726826906204E-002;4.376452043652535E-002;
2.430000000000000E+009;-1.337784081697464E-001;6.962209939956665E-002;
2.438500000000000E+009;-1.627533137798309E-001;1.337417066097260E-001;
2.447000000000000E+009;-1.361384242773056E-001;2.055696994066238E-001;
2.455500000000000E+009;-6.398750841617584E-002;2.397059202194214E-001;
2.464000000000000E+009;1.563129201531410E-002;2.167485356330872E-001;
2.472500000000000E+009;6.037449836730957E-002;1.396138519048691E-001;
2.481000000000000E+009;3.596873953938484E-002;4.297832027077675E-002;
2.489500000000000E+009;-6.188234314322472E-002;-8.339722640812397E-003;
2.498000000000000E+009;-1.709436327219009E-001;3.352037072181702E-002;
2.506500000000000E+009;-2.187189459800720E-001;1.486793309450150E-001;
2.515000000000000E+009;-1.652385890483856E-001;2.640589773654938E-001;
2.523500000000000E+009;-4.627294465899468E-002;3.085391819477081E-001;
2.532000000000000E+009;7.087780535221100E-002;2.586167752742767E-001;
2.540500000000000E+009;1.232233494520187E-001;1.392336934804916E-001;
2.549000000000000E+009;6.856591999530792E-002;1.091727148741484E-002;
2.557500000000000E+009;-6.820808351039887E-002;-3.193508088588715E-002;
2.566000000000000E+009;-1.910627335309982E-001;4.362937062978745E-002;
2.574500000000000E+009;-2.190424501895905E-001;1.836544871330261E-001;
2.583000000000000E+009;-1.392590552568436E-001;3.000252842903137E-001;
2.591500000000000E+009;-5.550698377192020E-003;3.314434587955475E-001;
2.600000000000000E+009;1.197867691516876E-001;2.639153897762299E-001;
